survey_date,response_date,total_spend,spend_reported,seating_segment,member_segment,feedback,has_feedback,primary_theme,sentiment
28:03.0,43:39.0,286.25,true,General,UNKNOWN,"I feel like the signage was confusing. Since there was an entrance at the back but the line stretched all the way to the lawn so at 6pm, people had to cross the drive way part to get to the all seats section. While looking for that spot we went over and basically were stuck there. While inside the stadium there were no seat ushers and I noticed a lot of people were confused which were their spots. I was also not completely sure. During the concert people were also were entering mid song. I just felt like someone helping or roaming around could have assisted.",true,Entry and wayfinding,
28:03.0,19:46.0,318.0,true,General,UNKNOWN,Better directions from parking staff,true,Parking and transportation,positive
28:03.0,06:53.0,59.5,true,General,UNKNOWN,No,false,Other / unclassified,neutral
00:18.0,15:00.0,259.88,true,Floor/Pit,UNKNOWN,"When I arrived to my seating destination, I was given GA pit wristbands, then after the first 2 bands played, I was told by security I need to change them for red wristbands. Very confused on those actions.",true,Staff and service,negative
10:37.0,20:02.0,231.24,true,General,YES,"Also shutting down the beer sales when people have been waiting in line is not cool. Shouldnâ€™t waste peopleâ€™s time, it leaves a bad taste in their mouth.",true,Queues and wait times,
00:18.0,27:38.0,199.9,true,General,UNKNOWN,Great sound for a stadium,true,Other / unclassified,positive
28:03.0,17:43.0,159.0,true,Premium,UNKNOWN,Production should specify all merch sales spots. We did a huge line outside with the impression that it was the only way to buy merch. Once we were in we realized there were several spots.,true,Queues and wait times,negative
28:03.0,48:23.0,399.0,true,Floor/Pit,UNKNOWN,"better merchandise purchasing experience, excessively long lines and merchandise out of stock",true,Queues and wait times,
57:48.0,20:06.0,59.5,true,General,UNKNOWN,"Have signs of weâ€™re to go, to what tickets you have. There was no organization of lines at all. Itâ€™s sad when it takes 2 hours to get into the venue because people have no idea where they are so pose to be and there are no gates or flow of people. So itâ€™s just a mosh of people shoving and cutting. Not organized at all to get into the stadium.",true,Queues and wait times,
10:37.0,50:25.0,201.56,true,Supporters Section,YES,Offer more vegetarian options. Open up the Fields food area.,true,Food and beverage,neutral
28:03.0,40:25.0,199.0,true,General,UNKNOWN,Please let drivers know if disability parking spots are filled or vacant,true,Parking and transportation,neutral
